service_id,date,exception_type
GOOGLE-GLT_MUL-Weekday-05,20130624,2
GOOGLE-GLT_MUL-Weekday-05,20130625,2
GOOGLE-GLT_MUL-Weekday-05,20130626,2
GOOGLE-GLT_MUL-Weekday-05,20130627,2
GOOGLE-GLT_MUL-Weekday-05,20130628,2
GOOGLE-GLT_MUL-Weekday-05,20130701,2
GOOGLE-GLT_MUL-Weekday-05,20130702,2
GOOGLE-GLT_MUL-Weekday-05,20130703,2
GOOGLE-GLT_MUL-Weekday-05,20130704,2
GOOGLE-GLT_MUL-Weekday-05,20130705,2
GOOGLE-GLT_MUL-Weekday-05,20130923,2
GOOGLE-GLT_MUL-Weekday-05,20130924,2
GOOGLE-GLT_MUL-Weekday-05,20130925,2
GOOGLE-GLT_MUL-Weekday-05,20130926,2
GOOGLE-GLT_MUL-Weekday-05,20130927,2
GOOGLE-GLT_MUL-Weekday-05,20130930,2
GOOGLE-GLT_MUL-Weekday-05,20131001,2
GOOGLE-GLT_MUL-Weekday-05,20131002,2
GOOGLE-GLT_MUL-Weekday-05,20131003,2
GOOGLE-GLT_MUL-Weekday-05,20131004,2
GOOGLE-GLT_MUL-Weekday-05,20131007,2
GOOGLE-GLT_MUL-Weekday-06,20130617,2
GOOGLE-GLT_MUL-Weekday-06,20130618,2
GOOGLE-GLT_MUL-Weekday-06,20130619,2
GOOGLE-GLT_MUL-Weekday-06,20130620,2
GOOGLE-GLT_MUL-Weekday-06,20130621,2
GOOGLE-GLT_MUL-Weekday-06,20130708,2
GOOGLE-GLT_MUL-Weekday-06,20130709,2
GOOGLE-GLT_MUL-Weekday-06,20130710,2
GOOGLE-GLT_MUL-Weekday-06,20130711,2
GOOGLE-GLT_MUL-Weekday-06,20130712,2
GOOGLE-GLT_MUL-Weekday-06,20130715,2
GOOGLE-GLT_MUL-Weekday-06,20130716,2
GOOGLE-GLT_MUL-Weekday-06,20130717,2
GOOGLE-GLT_MUL-Weekday-06,20130718,2
GOOGLE-GLT_MUL-Weekday-06,20130719,2
GOOGLE-GLT_MUL-Weekday-06,20130722,2
GOOGLE-GLT_MUL-Weekday-06,20130723,2
GOOGLE-GLT_MUL-Weekday-06,20130724,2
GOOGLE-GLT_MUL-Weekday-06,20130725,2
GOOGLE-GLT_MUL-Weekday-06,20130726,2
GOOGLE-GLT_MUL-Weekday-06,20130729,2
GOOGLE-GLT_MUL-Weekday-06,20130730,2
GOOGLE-GLT_MUL-Weekday-06,20130731,2
GOOGLE-GLT_MUL-Weekday-06,20130801,2
GOOGLE-GLT_MUL-Weekday-06,20130802,2
GOOGLE-GLT_MUL-Weekday-06,20130805,2
GOOGLE-GLT_MUL-Weekday-06,20130806,2
GOOGLE-GLT_MUL-Weekday-06,20130807,2
GOOGLE-GLT_MUL-Weekday-06,20130808,2
GOOGLE-GLT_MUL-Weekday-06,20130809,2
GOOGLE-GLT_MUL-Weekday-06,20130812,2
GOOGLE-GLT_MUL-Weekday-06,20130813,2
GOOGLE-GLT_MUL-Weekday-06,20130814,2
GOOGLE-GLT_MUL-Weekday-06,20130815,2
GOOGLE-GLT_MUL-Weekday-06,20130816,2
GOOGLE-GLT_MUL-Weekday-06,20130819,2
GOOGLE-GLT_MUL-Weekday-06,20130820,2
GOOGLE-GLT_MUL-Weekday-06,20130821,2
GOOGLE-GLT_MUL-Weekday-06,20130822,2
GOOGLE-GLT_MUL-Weekday-06,20130823,2
GOOGLE-GLT_MUL-Weekday-06,20130826,2
GOOGLE-GLT_MUL-Weekday-06,20130827,2
GOOGLE-GLT_MUL-Weekday-06,20130828,2
GOOGLE-GLT_MUL-Weekday-06,20130829,2
GOOGLE-GLT_MUL-Weekday-06,20130830,2
GOOGLE-GLT_MUL-Weekday-06,20130902,2
GOOGLE-GLT_MUL-Weekday-06,20130903,2
GOOGLE-GLT_MUL-Weekday-06,20130904,2
GOOGLE-GLT_MUL-Weekday-06,20130905,2
GOOGLE-GLT_MUL-Weekday-06,20130906,2
GOOGLE-GLT_MUL-Weekday-06,20130909,2
GOOGLE-GLT_MUL-Weekday-06,20130910,2
GOOGLE-GLT_MUL-Weekday-06,20130911,2
GOOGLE-GLT_MUL-Weekday-06,20130912,2
GOOGLE-GLT_MUL-Weekday-06,20130913,2
GOOGLE-GLT_MUL-Weekday-06,20130916,2
GOOGLE-GLT_MUL-Weekday-06,20130917,2
GOOGLE-GLT_MUL-Weekday-06,20130918,2
GOOGLE-GLT_MUL-Weekday-06,20130919,2
GOOGLE-GLT_MUL-Weekday-06,20130920,2
GOOGLE-GLT_MUL-Weekday-06,20131007,2
GOOGLE-GLT_MUL-Weekday-06,20131008,2
GOOGLE-GLT_MUL-Weekday-06,20131009,2
GOOGLE-GLT_MUL-Weekday-06,20131010,2
GOOGLE-GLT_MUL-Weekday-06,20131011,2
GOOGLE-GLT_MUL-Weekday-06,20131014,2
GOOGLE-GLT_MUL-Weekday-06,20131015,2
GOOGLE-GLT_MUL-Weekday-06,20131016,2
GOOGLE-GLT_MUL-Weekday-06,20131017,2
GOOGLE-GLT_MUL-Weekday-06,20131018,2
GOOGLE-GLT_MUL-Weekday-06,20131021,2
GOOGLE-GLT_MUL-Weekday-06,20131022,2
GOOGLE-GLT_MUL-Weekday-06,20131023,2
GOOGLE-GLT_MUL-Weekday-06,20131024,2
GOOGLE-GLT_MUL-Weekday-06,20131025,2
GOOGLE-GLT_MUL-Weekday-06,20131028,2
GOOGLE-GLT_MUL-Weekday-06,20131029,2
GOOGLE-GLT_MUL-Weekday-06,20131030,2
GOOGLE-GLT_MUL-Weekday-06,20131031,2
GOOGLE-GLT_MUL-Weekday-06,20131101,2
GOOGLE-GLT_MUL-Weekday-06,20131104,2
GOOGLE-GLT_MUL-Weekday-06,20131105,2
GOOGLE-GLT_MUL-Weekday-06,20131106,2
GOOGLE-GLT_MUL-Weekday-06,20131107,2
GOOGLE-GLT_MUL-Weekday-06,20131108,2
GOOGLE-GLT_MUL-Weekday-06,20131111,2
GOOGLE-GLT_MUL-Weekday-06,20131112,2
GOOGLE-GLT_MUL-Weekday-06,20131113,2
GOOGLE-GLT_MUL-Weekday-06,20131114,2
GOOGLE-GLT_MUL-Weekday-06,20131115,2
GOOGLE-GLT_MUL-Weekday-06,20131118,2
GOOGLE-GLT_MUL-Weekday-06,20131119,2
GOOGLE-GLT_MUL-Weekday-06,20131120,2
GOOGLE-GLT_MUL-Weekday-06,20131121,2
GOOGLE-GLT_MUL-Weekday-06,20131122,2
GOOGLE-GLT_MUL-Weekday-06,20131125,2
GOOGLE-GLT_MUL-Weekday-06,20131126,2
GOOGLE-GLT_MUL-Weekday-06,20131127,2
GOOGLE-GLT_MUL-Weekday-06,20131128,2
GOOGLE-GLT_MUL-Weekday-06,20131129,2
GOOGLE-GLT_MUL-Weekday-06,20131202,2
GOOGLE-GLT_MUL-Weekday-06,20131203,2
GOOGLE-GLT_MUL-Weekday-06,20131204,2
GOOGLE-GLT_MUL-Weekday-06,20131205,2
GOOGLE-GLT_MUL-Weekday-06,20131206,2
GOOGLE-GLT_MUL-Weekday-06,20131209,2
GOOGLE-GLT_MUL-Weekday-06,20131210,2
GOOGLE-GLT_MUL-Weekday-06,20131211,2
GOOGLE-GLT_MUL-Weekday-06,20131212,2
GOOGLE-GLT_MUL-Weekday-06,20131213,2
GOOGLE-GLT_MUL-Weekday-05,20131225,2
GOOGLE-GLT_MUL-Weekday-05,20131226,2
